NOMBRE_DPT,Mean_2012,Mean_2021,Std_2012,Std_2021
AMAZONAS,1498.4545454545455,2086.0,497.27162871741706,1417.0733740242322
ANTIOQUIA,1214.090909090909,1800.7,381.9181730542433,1161.1205159808258
ARAUCA,711.2727272727273,597.2,304.03752758799067,350.22843673056707
ATLANTICO,25916.727272727272,26144.15,5734.051413981376,8779.66935760951
BOLIVAR,3605.2727272727275,5058.6,1397.559307572247,2863.041930314127
BOYACA,621.1818181818181,611.1,562.2276795359364,519.7262336025927
CALDAS,8113.454545454545,12222.35,1662.8772271960643,7054.781986075305
CAQUETA,2089.090909090909,1712.35,561.247619958509,717.6081818315473
CASANARE,962.5454545454545,959.25,384.2958140902301,483.71292867611163
CAUCA,2078.4545454545455,2255.75,624.0159234565034,942.0406112041532
CESAR,29506.81818181818,35896.95,13571.287012057346,15877.414801750381
CHOCO,6123.545454545455,6341.55,2578.453193821302,2741.44206145521
CORDOBA,5036.636363636364,4867.1,1623.8500714491636,1432.4108459443287
CUNDINAMARCA,5401.363636363636,5111.55,2023.5193239861721,1882.9174304785647
GUAINIA,4587.909090909091,3862.2,1816.8038118930428,1997.8503078638246
GUAVIARE,3205.3636363636365,2540.05,1101.6631311546441,1172.043940033146
HUILA,3938.7272727272725,5329.2,1662.514667057653,3746.482822173632
LA GUAJIRA,4046.090909090909,2945.4,1545.5139245277248,1713.515727201948
MAGDALENA,5951.727272727273,5394.95,1671.4111457633092,1818.249750519207
META,1287.7272727272727,2033.1,468.7489927261905,1657.5768903337248
NARIÃ‘O,13522.454545454546,18449.4,4355.732621813151,10799.746860581112
NORTE DE SANTANDER,4008.2727272727275,3453.4,1461.9963126430305,1657.5379141492074
PUTUMAYO,12752.454545454546,10623.0,3354.2566796128276,4080.203697185511
QUINDIO,3536.2727272727275,3313.45,1544.9416229041854,1208.694923635014
RISARALDA,5253.818181818182,6183.35,2138.090541496399,2791.587216413291
SANTANDER,25058.909090909092,29147.3,10594.956965033369,14353.652830881541
SUCRE,5928.545454545455,5273.8,3053.74639954389,2684.4238938932995
TOLIMA,7320.545454545455,11007.55,3115.8332228678855,5837.913762863544
VALLE DEL CAUCA,9474.272727272728,14296.4,3016.562052765005,6913.742808425305
VAUPES,2166.7272727272725,2738.0,825.8880179430007,1057.3763956629934
VICHADA,4660.181818181818,5628.05,1594.7703168909197,2437.2506182819584
